order_id,customer_id,order_date,amount,currency
100006,DK-13375,2024-09-07,377.97,USD
100090,EB-13705,2024-07-08,699.19,USD
100293,NF-18475,2024-03-14,91.06,USD
100328,JC-15340,2024-01-28,3.93,USD
100363,JM-15655,2024-04-08,21.38,USD
100391,BW-11065,2024/05/25,14.62,USD
100678,KM-16720,2024-04-18,697.07,USD
100706,LE-16810,2024-12-16,129.44,EUR
100762,NG-18355,2024-11-24,508.62,USD
100860,CS-12505,2024-03-26,18.75,EUR
,EH-14125,2024-10-19,321.55,USD
100881,DR-12940,2024-03-28,302.38,USD
100895,SV-20785,02-06-2024,605.47,USD
100916,FH-14275,2024-10-21,788.86,USD
100972,DB-13360,19-11-2024,166.44,EUR
101147,MC-17575,2024-12-02,2.39,EUR
101175,DM-12955,2024-12-09,100.70,USD
101266,MM-17920,2024-08-27,13.36,EUR
101364,TW-21025,2024-12-22,296.71,USD
101392,AS-10630,2024/12/07,269.36,USD
101427,AY-10555,2024-12-26,8.02,USD
101462,BP-11230,2024-04-20,59.92,USD
101476,SD-20485,2024-09-12,69.99,EUR
101560,CS-12250,2024-11-28,542.34,EUR
101602,MC-18100,2024-12-15,803.96,EUR
101770,KB-16240,2024-03-31,,USD
101833,FG-14260,2024-11-17,34.44,EUR
101931,TS-21370,2024-10-28,1252.60,EUR
102008,RA-19915,2024-09-30,48.94,USD
102085,JD-16015,2024-10-04,29.24,USD
102274,DH-13075,2024-11-21,865.50,USD
102295,EH-13990,2024-11-24,120.71,EUR
102330,AI-10855,2024-12-29,408.77,USD
102645,IM-15055,2024-01-23,40.08,USD
102652,AY-10555,2024-04-06,199.99,USD
102673,KH-16630,2024-11-01,1044.44,USD
102869,LC-17140,2024-09-09,233.24,EUR
102988,GM-14695,2024-04-05,4251.92,EUR
103058,AG-10270,2024-07-23,99.98,EUR
103086,EB-14170,2024-10-17,5.31,EUR
103100,AB-10105,2024-12-20,1107.66,EUR
103191,VG-21805,2024-09-22,331.54,USD
103219,BF-11215,2024-11-09,56.52,USD
103310,GM-14680,2024-05-10,1769.78,USD
103317,DM-13525,2024-07-05,242.55,EUR
103331,KB-16315,2024-08-26,31.40,USD
103366,EH-13990,2024-01-15,149.95,EUR
103373,BS-11755,2024-05-18,779.80,USD
103401,GR-14560,2024-11-21,12.96,USD
103429,LW-16825,2024-05-30,765.49,EUR
103492,CM-12715,2024-10-10,N/A,USD
103527,CC-12220,2024-09-09,10.90,EUR
103590,JL-15505,30-11-2024,62.28,USD
103660,MW-18220,2024-08-25,1007.94,USD
103702,AF-10885,2024-09-12,63.92,USD
103744,MG-17875,23-02-2024,11.36,USD
103800,DP-13000,2024-01-03,16.45,USD
103807,EM-13825,2024-12-02,21.19,USD
103849,PG-18895,2024/05/11,225.02,USD
103940,BN-11515,2024/09/17,260.79,USD
103989,MC-17605,2024-03-19,590.76,EUR
104178,JM-15265,2024-08-25,176.14,USD
104269,DB-13060,2024-03-01,457.57,EUR
104283,LM-17065,27-06-2024,616.14,USD
104402,DB-13660,2024-06-17,65.97,USD
104472,CK-12325,2024-06-02,133.13,USD
104563,CM-12715,2024-03-07,1143.82,USD
104738,SP-20620,2024-12-30,609.61,EUR
104773,TB-21175,2024-12-08,60.42,USD
104780,BT-11530,2024-05-21,31.84,USD
104808,MH-17440,2024-02-04,17.25,EUR
104829,JG-15805,2024-11-18,21.98,EUR
104976,CK-12760,09-12-2024,34.68,USD
105165,SZ-20035,2024-09-07,469.04,EUR
105172,PK-18910,2024-04-04,18.90,USD
105249,DH-13675,2024-11-28,460.09,EUR
105270,AP-10915,2024-11-11,143.13,USD
105340,EH-14185,2024-11-22,6.93,EUR
105417,VS-21820,2024-01-07,87.16,USD
105648,EJ-14155,2024-03-03,626.35,USD
105872,JG-15160,2024-05-30,70.37,USD
105893,PK-19075,2024-11-11,665.88,USD
105984,MY-18295,2024-11-24,1661.03,EUR
106054,,06-01-2024,12.78,EUR
106229,NR-18550,2024-06-07,268.94,EUR
